SampleID,bMBI,AMBI,N,H,S,J,Farm,Distance,Station,Rep
Ext_0m_1_a,8.82472480948349,6,194,0.0322952391734162,2,0.04659218139981054,Farm 1,0m,1,a
Ext_0m_2_c,8.427568218298557,5.990033222591362,602,0.02227723353007071,2,0.032139254338558354,Farm 1,0m,2,c
Ext_0m_3_c,7.852737570799244,6,415,0.1309524617681218,2,0.18892446718507092,Farm 1,0m,3,c
Ext_50m_1_a,8.154443682887822,4.7,19,1.4383318472448687,6,0.8027482884544466,Farm 1,50m,1,a
Ext_50m_1_b,6.357692307692307,5.684210526315789,21,0.684954761053158,4,0.494090418502338,Farm 1,50m,1,b
Ext_50m_1_c,8.61592893706715,3.4411764705882355,24,1.688840894721674,8,0.8121607945551464,Farm 1,50m,1,c
Ext_250m_1_a,3.2187447417129396,2.25,81,1.8939590788092453,10,0.8225359768774212,Farm 1,250m,1,a
Ext_250m_1_b,2.44348826507133,2.8421052631578947,99,1.9069167171789894,10,0.8281634077198989,Farm 1,250m,1,b
Ext_250m_1_c,2.498015618998848,2.5531914893617023,65,2.0259050142193464,10,0.879839368535591,Farm 1,250m,1,c
Ext_2000m_1_a,1.415929203539823,3.6000000000000005,16,1.8195113489698564,7,0.9350438661585583,Farm 1,2000m,1,a
Ext_2000m_1_b,1.4967637540453074,3.078947368421052,23,1.9552978428423973,9,0.8898943981469934,Farm 1,2000m,1,b
Ext_2000m_1_c,1.4112412177985947,3.1621621621621623,47,1.3654326253362552,8,0.6566342924135379,Farm 1,2000m,1,c
Int_0m_2_b,9.300936768149883,5.983193277310924,732,0.16026153028354734,4,0.1156042574926751,Farm 2,0m,2,b
Int_0m_2_c,8.87103109656301,5.990022172949002,458,0.1037362230503098,4,0.07482986727761666,Farm 2,0m,2,c
Int_0m_3_c,8.473413379073756,6,488,0,1,NaN,Farm 2,0m,3,c
Int_50m_1_a,5.28863745787193,3.590909090909091,45,1.9974233986188425,9,0.9090665648025821,Farm 2,50m,1,a
Int_50m_1_b,4.86001902346227,2.588235294117647,73,2.063034228275559,10,0.8959643813176087,Farm 2,50m,1,b
Int_50m_1_c,8.73627974745022,3.96,37,1.9914737188370666,9,0.9063587488409616,Farm 2,50m,1,c
Int_250m_1_a,2.2185314685314688,2.7194244604316546,169,1.8954252233563453,12,0.7627752227706636,Farm 2,250m,1,a
Int_250m_1_b,3.986257928118393,2.5458715596330275,132,1.9091501991088813,12,0.768298559332907,Farm 2,250m,1,b
Int_250m_1_c,4.25288488601182,3.0215827338129495,189,2.0254201812727635,14,0.7674786593469133,Farm 2,250m,1,c
Int_2000m_1_a,1.2125918503674016,2.8235294117647056,77,2.214063571897147,13,0.8631997218410377,Farm 2,2000m,1,a
Int_2000m_1_b,0.7782734506872439,3.489130434782609,77,1.9609489231561008,11,0.8177792188845894,Farm 2,2000m,1,b
Int_2000m_1_c,0.9784366576819405,5.257142857142857,153,1.5213117057352206,11,0.6344362587444583,Farm 2,2000m,1,c
